case,station,model,mode,completed,epochs,exit_code,wall_seconds,ar_attempt_epochs,wl_passed_epochs,l1_passed_epochs,reported_newly_fixed_sum,held_integer_rank_peak,newly_fixed_epochs,rms_3d_m,final_enu_m,effective_search,general_rows_total,named_recovered_total,reference_difference_m,errors,alarms,trace,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows,held_positive_epochs
r48u_20260914_BREW_IF_float_fix1,BREW,IF,float,True,55,0,10.643162542954087,0,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_float_fix1/Network-r48u_20260914_BREW_IF_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_round_shadow_fix1,BREW,IF,round_shadow,True,55,0,10.758051367942244,41,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_round_shadow_fix1/Network-r48u_20260914_BREW_IF_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_round_feedback_fix1,BREW,IF,round_feedback,True,55,0,10.849573794053867,41,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_round_feedback_fix1/Network-r48u_20260914_BREW_IF_round_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_ils_shadow_fix1,BREW,IF,ils_shadow,True,55,0,11.453339410945773,41,3,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['LAMBDA_ALT'],22,22,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_ils_shadow_fix1/Network-r48u_20260914_BREW_IF_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_ils_feedback_fix1,BREW,IF,ils_feedback,True,55,0,11.50790441792924,41,3,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['LAMBDA_ALT'],22,22,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_ils_feedback_fix1/Network-r48u_20260914_BREW_IF_ils_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_IF_float_fix1,MARS,IF,float,True,55,0,11.565747691085562,0,0,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_float_fix1/Network-r48u_20260914_MARS_IF_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_IF_round_shadow_fix1,MARS,IF,round_shadow,True,55,0,11.516270912019536,27,15,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_round_shadow_fix1/Network-r48u_20260914_MARS_IF_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_IF_round_feedback_fix1,MARS,IF,round_feedback,True,55,0,11.508149218047038,27,15,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_round_feedback_fix1/Network-r48u_20260914_MARS_IF_round_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_IF_ils_shadow_fix1,MARS,IF,ils_shadow,True,55,0,11.479237973922864,27,15,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",['LAMBDA_ALT'],40,40,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_ils_shadow_fix1/Network-r48u_20260914_MARS_IF_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_IF_ils_feedback_fix1,MARS,IF,ils_feedback,True,55,0,10.785237885080278,27,15,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",['LAMBDA_ALT'],40,40,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_ils_feedback_fix1/Network-r48u_20260914_MARS_IF_ils_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_JPLM_IF_float_fix1,JPLM,IF,float,True,55,0,10.614621444023214,0,0,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",[],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_float_fix1/Network-r48u_20260914_JPLM_IF_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_JPLM_IF_round_shadow_fix1,JPLM,IF,round_shadow,True,55,0,10.57232950697653,40,0,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",['ROUND'],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_round_shadow_fix1/Network-r48u_20260914_JPLM_IF_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_JPLM_IF_round_feedback_fix1,JPLM,IF,round_feedback,True,55,0,10.972957396996208,40,0,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",['ROUND'],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_round_feedback_fix1/Network-r48u_20260914_JPLM_IF_round_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_JPLM_IF_ils_shadow_fix1,JPLM,IF,ils_shadow,True,55,0,10.677959993015975,40,11,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",['LAMBDA_ALT'],24,24,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_ils_shadow_fix1/Network-r48u_20260914_JPLM_IF_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_JPLM_IF_ils_feedback_fix1,JPLM,IF,ils_feedback,True,55,0,10.784984144032933,40,11,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",['LAMBDA_ALT'],24,24,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_ils_feedback_fix1/Network-r48u_20260914_JPLM_IF_ils_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_UDUC_float_fix1,DYNG,UDUC,float,True,55,0,10.4630542419618,0,0,0,0,0,0,0.6426030521264907,"[0.0144822, -0.133583, 0.457074]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_float_fix1/Network-r48u_20260914_DYNG_UDUC_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_UDUC_round_shadow_fix1,DYNG,UDUC,round_shadow,True,55,0,10.442670033080503,27,19,0,0,0,0,0.6426030521264907,"[0.0144822, -0.133583, 0.457074]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_round_shadow_fix1/Network-r48u_20260914_DYNG_UDUC_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_UDUC_round_feedback_fix1,DYNG,UDUC,round_feedback,True,55,0,10.396110416972078,27,1,0,12,3,4,0.6266824835860754,"[0.0206022, -0.129497, 0.434497]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_round_feedback_fix1/Network-r48u_20260914_DYNG_UDUC_round_feedback_fix1-202419900.TRACE,1,3,0,26
