station,mode,time,stage,selected,provisional_selected,joint_nis,joint_threshold,maximum_perr,reliability_gate,passed,feedback_flag_is_mode_only
NICO,ar,2024-07-17T00:20:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:20:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:21:00,USER_IF_WL_SD,0,1,0.155703,23.9281,0.00113718,0,False,1
NICO,ar,2024-07-17T00:21:30,USER_IF_WL_SD,1,1,0.124769,23.9281,0.000441402,1,True,1
NICO,ar,2024-07-17T00:21:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:22:00,USER_IF_WL_SD,1,1,0.0789766,23.9281,0.000157902,1,True,1
NICO,ar,2024-07-17T00:22:00,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:22:30,USER_IF_WL_SD,1,1,0.0367828,23.9281,5.47349e-05,1,True,1
NICO,ar,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:23:00,USER_IF_WL_SD,2,2,0.0200219,27.631,0.000936313,1,True,1
NICO,ar,2024-07-17T00:23:00,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:23:30,USER_IF_WL_SD,2,2,0.00652986,27.631,0.000505833,1,True,1
NICO,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:24:00,USER_IF_WL_SD,2,2,9.85503e-07,27.631,0.000276,1,True,1
NICO,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
NICO,ar,2024-07-17T00:24:30,USER_IF_WL_SD,0,3,0.0125832,30.6648,0.00155675,0,False,1
NICO,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:10:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:11:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:11:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:12:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:12:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:13:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:13:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:14:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:14:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:15:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:15:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:16:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:16:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:17:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:17:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:18:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:18:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:19:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:19:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:20:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:20:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:21:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:21:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:22:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:22:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:23:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:23:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:24:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
JPLM,ar,2024-07-17T00:24:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
